order_id,order_date,city,restaurant_name,food_category,item_name,quantity,unit_price,discount,delivery_fee,gst,total_sales,delivery_time_min,payment_method,order_status,customer_rating,delivery_partner
700023,3/13/2026,Gandhinagar,Food Fiesta,Burger,Cheese Burger,3,202.53,48.16,57.43,27.97,644.83,20,Cash,Delivered,3.3,Karan
700024,3/4/2026,Vadodara,Spice Hub,South Indian,Uttapam,1,210.02,14.71,47.88,9.77,252.96,53,UPI,Delivered,4.1,Neha
700025,7/7/2025,Gandhinagar,Food Fiesta,Biryani,Veg Biryani,2,189.9,28.12,26.14,17.58,395.4,22,UPI,Cancelled,,Karan
700026,11/26/2025,Gandhinagar,Pizza Corner,Pizza,Margherita,5,220.75,32.25,46.74,53.58,1171.82,72,Wallet,Delivered,3.9,Ravi
700027,4/27/2025,Mumbai,Pizza Corner,South Indian,Uttapam,3,177.48,18.31,26.28,25.71,566.12,29,Card,Delivered,3.8,Vikas
700028,11/5/2025,Pune,Chinese Wok,Biryani,Paneer Biryani,1,365.54,76.3,20.24,14.46,323.94,45,Card,Delivered,4.2,Rahul
700029,8/29/2025,Mumbai,Spice Hub,Burger,Paneer Burger,2,389.31,55.39,27.07,36.16,786.46,74,Wallet,Delivered,3.7,Rahul
700030,1/2/2026,Pune,Biryani Express,Burger,Paneer Burger,5,356.4,22.01,23.4,88,1871.39,30,Cash,Delivered,3.4,Ravi
700031,5/13/2026,Vadodara,Spice Hub,Burger,Cheese Burger,4,275.54,36.79,26.48,53.27,1145.12,58,UPI,Cancelled,,Vikas
700032,5/6/2026,Mumbai,South Treat,Dessert,Gulab Jamun,3,125.08,59.04,25.57,15.81,357.58,15,Wallet,Cancelled,,Vikas
700033,1/2/2026,Jaipur,Biryani Express,Dessert,Ice Cream,4,334.74,4.94,22.69,66.7,1423.41,70,Cash,Delivered,3.5,Karan
700034,3/14/2026,Mumbai,Burger House,South Indian,Masala Dosa,4,263.28,68.41,24.6,49.24,1058.55,27,Wallet,Delivered,4,Vikas
700035,1/4/2025,Rajkot,Spice Hub,Pizza,Veg Supreme,5,201.08,33.52,38.89,48.59,1059.36,42,Card,Delivered,3.7,Vikas
700036,3/22/2026,Surat,Biryani Express,Burger,Veg Burger,5,207.16,16.9,52.47,50.95,1122.32,46,Cash,Delivered,4.3,Amit
700037,5/10/2026,Gandhinagar,Food Fiesta,Beverages,Lassi,3,258.46,20.88,37.86,37.72,830.08,36,Cash,Cancelled,,Priya
700038,5/3/2025,Mumbai,Food Fiesta,Burger,Veg Burger,2,141.36,22.25,21.05,13.02,294.54,42,Wallet,Delivered,4.9,Neha
700039,5/5/2026,Gandhinagar,Burger House,Beverages,Fresh Juice,3,86.23,59.43,54.06,9.96,263.28,64,UPI,Delivered,4.4,Vikas
700040,1/27/2025,Ahmedabad,Urban Tadka,South Indian,Idli,2,93.12,23.58,55.03,8.13,225.82,52,Card,Cancelled,,Karan
700041,2/10/2026,Jaipur,Urban Tadka,Beverages,Cold Coffee,4,387.27,57.31,53.66,74.59,1620.02,65,UPI,Delivered,3.1,Ravi
700042,9/17/2025,Mumbai,Biryani Express,Burger,Paneer Burger,3,218.62,57.8,49.36,29.9,677.32,33,Cash,Delivered,4.4,Amit
700043,5/21/2026,Mumbai,Biryani Express,North Indian,Paneer Butter Masala,3,223.75,40.62,42.75,31.53,704.91,30,Wallet,Delivered,4.3,Suresh
700044,3/5/2025,Pune,Urban Tadka,South Indian,Idli,5,246.8,64.37,24.89,58.48,1253,26,Wallet,Delivered,4.2,Rahul
700045,6/13/2026,Gandhinagar,Burger House,Chinese,Fried Rice,5,398.69,49.14,58.73,97.22,2100.26,55,Wallet,Delivered,4.9,Karan
700046,5/16/2026,Ahmedabad,Pizza Corner,Pizza,Veg Supreme,2,234.99,36.01,36.34,21.7,492.01,63,Wallet,Delivered,4.7,Suresh
700047,1/21/2026,Rajkot,Burger House,Dessert,Gulab Jamun,2,364.98,48.15,53.83,34.09,769.73,46,UPI,Delivered,3.5,Suresh
700048,2/17/2025,Ahmedabad,Food Fiesta,North Indian,Naan Combo,2,234.09,8.36,22.72,22.99,505.53,37,Card,Delivered,3.3,Rahul
700049,6/1/2026,Rajkot,Food Fiesta,Beverages,Cold Coffee,2,353.79,24.01,37.5,34.18,755.25,21,Card,Delivered,4,Amit
700050,2/22/2026,Rajkot,South Treat,Beverages,Lassi,3,365.85,7.92,58.7,54.48,1202.81,31,Wallet,Delivered,4.7,Amit
700051,3/22/2026,Jaipur,Food Fiesta,Dessert,Ice Cream,5,290.56,79.19,30.53,68.68,1472.82,29,Wallet,Delivered,4.8,Amit
700052,6/10/2025,Surat,Burger House,North Indian,Paneer Butter Masala,4,352.74,10.89,43.49,70,1513.56,36,Wallet,Delivered,4.8,Karan
700053,1/19/2026,Jaipur,Pizza Corner,Pizza,Margherita,3,365.21,13.07,59.68,54.13,1196.37,73,UPI,Cancelled,,Ravi
700054,2/20/2026,Jaipur,Pizza Corner,Beverages,Lassi,1,162.73,35.39,35.17,6.37,168.88,17,Cash,Cancelled,,Rahul
700055,11/22/2025,Rajkot,Chinese Wok,Chinese,Noodles,1,393.11,34.12,37.9,17.95,414.84,59,UPI,Delivered,3.1,Priya
700056,12/29/2025,Jaipur,South Treat,South Indian,Masala Dosa,1,185.58,18.12,30.46,8.37,206.29,19,UPI,Delivered,4.3,Ravi
700057,5/29/2026,Gandhinagar,South Treat,Biryani,Paneer Biryani,1,374.82,62.25,31.1,15.63,359.3,17,Wallet,Cancelled,,Rahul
700058,6/24/2026,Rajkot,South Treat,Burger,Paneer Burger,1,349.34,36.54,35.86,15.64,364.3,27,UPI,Cancelled,,Ravi
700059,4/16/2025,Pune,Chinese Wok,Burger,Veg Burger,5,215.46,69.89,31.33,50.37,1089.11,70,UPI,Cancelled,,Suresh
700060,3/21/2025,Ahmedabad,Burger House,South Indian,Idli,5,160.23,46.73,41.8,37.72,833.94,18,Wallet,Cancelled,,Vikas
700061,3/1/2025,Gandhinagar,Spice Hub,Biryani,Hyderabadi Veg,3,147.86,45.79,35.35,19.89,453.03,32,Card,Delivered,4.8,Suresh
700062,9/12/2025,Surat,Chinese Wok,South Indian,Uttapam,5,319.77,7.38,51.17,79.57,1722.21,62,Cash,Delivered,4.2,Priya
700063,3/12/2025,Ahmedabad,Spice Hub,Biryani,Veg Biryani,2,118.88,25.4,31.26,10.62,254.24,73,Card,Cancelled,,Priya
700064,2/15/2025,Mumbai,Food Fiesta,Biryani,Veg Biryani,5,188.43,56.62,49.33,44.28,979.14,68,Card,Delivered,3.4,Ravi
700065,4/28/2025,Vadodara,South Treat,North Indian,Naan Combo,3,367.52,14.07,36.62,54.42,1179.53,20,Wallet,Delivered,3.5,Amit
700066,7/9/2025,Jaipur,Chinese Wok,Chinese,Fried Rice,4,327.96,70.27,47.43,62.08,1351.08,35,Wallet,Delivered,3.4,Neha
700067,6/13/2025,Rajkot,Biryani Express,Chinese,Noodles,5,108.98,27.77,38.56,25.86,581.55,39,Card,Delivered,3.1,Priya
700068,4/3/2026,Gandhinagar,Food Fiesta,Dessert,Gulab Jamun,3,371.2,6.46,29.26,55.36,1191.76,36,Card,Delivered,3.5,Ravi
700069,10/9/2025,Pune,Pizza Corner,South Indian,Uttapam,2,242.33,70.25,58.24,20.72,493.37,66,Wallet,Delivered,4.9,Priya
700070,4/5/2026,Vadodara,Food Fiesta,Chinese,Manchurian,4,84.98,7.92,35.06,16.6,383.66,71,Cash,Delivered,4.3,Vikas
700071,6/3/2025,Vadodara,Spice Hub,North Indian,Dal Makhani,3,306.6,45.84,53.19,43.7,970.85,56,Cash,Delivered,3.4,Suresh
700072,10/30/2025,Ahmedabad,Urban Tadka,Pizza,Farmhouse,2,211.72,73.85,47.14,17.48,414.21,41,UPI,Delivered,3.6,Vikas
700073,8/26/2025,Ahmedabad,Urban Tadka,Dessert,Brownie,2,282.85,42.48,44.4,26.16,593.78,59,Cash,Cancelled,,Suresh
700074,2/19/2026,Ahmedabad,Pizza Corner,Dessert,Brownie,5,87.48,20.45,41.3,20.85,479.1,56,UPI,Delivered,3.5,Ravi
700075,2/28/2025,Pune,Chinese Wok,Biryani,Veg Biryani,1,264.12,72.69,24.37,9.57,225.37,47,UPI,Delivered,4.2,Amit
700076,6/8/2025,Surat,Spice Hub,Biryani,Veg Biryani,1,187.75,2.38,59.65,9.27,254.29,56,Cash,Delivered,4.9,Neha
700077,12/25/2025,Jaipur,Spice Hub,Burger,Veg Burger,4,393.32,58.16,44.49,75.76,1635.37,32,Wallet,Delivered,3.7,Vikas
700078,12/18/2025,Pune,South Treat,North Indian,Paneer Butter Masala,4,285.19,40.57,23.18,55.01,1178.38,64,UPI,Delivered,4.6,Karan
700079,11/4/2025,Pune,Burger House,North Indian,Paneer Butter Masala,1,211.41,53.24,45.36,7.91,211.44,29,Wallet,Cancelled,,Vikas
700080,10/7/2025,Surat,Biryani Express,Dessert,Brownie,4,282.52,72.46,20.2,52.88,1130.7,25,Cash,Delivered,3.6,Vikas
700081,5/15/2025,Jaipur,Urban Tadka,Beverages,Lassi,1,354.42,5.11,56.91,17.47,423.69,52,Wallet,Delivered,3.1,Vikas
700082,5/28/2026,Vadodara,Pizza Corner,Chinese,Manchurian,4,292.15,70,29.79,54.93,1183.32,15,Cash,Cancelled,,Vikas
700083,1/19/2025,Vadodara,Spice Hub,Pizza,Farmhouse,1,158.78,29.09,42.71,6.48,178.88,70,Cash,Delivered,3.6,Suresh
700084,6/28/2025,Surat,Chinese Wok,Chinese,Fried Rice,2,242.87,65.54,33.82,21.01,475.03,24,Wallet,Delivered,3.9,Rahul
700085,3/15/2025,Gandhinagar,Pizza Corner,South Indian,Masala Dosa,1,151.07,39.13,52.94,5.6,170.48,15,UPI,Delivered,3.8,Priya
700086,2/22/2026,Jaipur,South Treat,Beverages,Fresh Juice,5,163.34,32.08,21.15,39.23,845,63,Cash,Delivered,3.1,Neha
700087,3/18/2025,Ahmedabad,Pizza Corner,South Indian,Uttapam,2,363.41,75.81,30.1,32.55,713.66,30,Cash,Delivered,4.8,Vikas
700088,5/1/2026,Mumbai,Biryani Express,Chinese,Fried Rice,2,366.95,62.87,53.75,33.55,758.33,26,Wallet,Delivered,4.8,Ravi
700089,5/19/2026,Vadodara,Burger House,North Indian,Naan Combo,2,162.09,44.54,46.81,13.98,340.43,27,Card,Delivered,3.9,Rahul
700090,6/30/2025,Pune,South Treat,Biryani,Paneer Biryani,5,296.8,78.56,27.78,70.27,1503.49,27,Card,Delivered,4.1,Karan
700091,1/22/2025,Rajkot,Food Fiesta,Chinese,Noodles,5,284.29,29.32,41.66,69.61,1503.4,69,Card,Delivered,3.4,Vikas
700092,6/21/2026,Vadodara,Chinese Wok,North Indian,Dal Makhani,3,207.18,65.85,37.43,27.78,620.9,28,Card,Cancelled,,Karan
700093,7/16/2025,Vadodara,Chinese Wok,Biryani,Hyderabadi Veg,3,175.97,28.96,53.12,24.95,577.02,30,Card,Delivered,4.4,Rahul
700094,1/16/2025,Pune,Spice Hub,Biryani,Paneer Biryani,5,249.8,3.43,45.39,62.28,1353.24,25,Card,Delivered,3.8,Neha
700095,6/1/2026,Jaipur,Spice Hub,Dessert,Brownie,4,355.89,28.83,32.79,69.74,1497.26,33,Wallet,Cancelled,,Neha
700096,1/23/2026,Jaipur,Biryani Express,North Indian,Paneer Butter Masala,3,363.84,78.49,57.94,50.65,1121.62,71,Cash,Cancelled,,Priya
700097,12/24/2025,Pune,Food Fiesta,North Indian,Naan Combo,5,223.31,51.24,31.07,53.27,1149.65,56,Card,Delivered,3.4,Priya
700098,3/28/2026,Pune,Chinese Wok,Biryani,Hyderabadi Veg,1,143.4,30.24,34.26,5.66,153.08,32,UPI,Delivered,4.9,Priya
700099,10/10/2025,Surat,Biryani Express,Biryani,Hyderabadi Veg,4,186.64,58.07,24.67,34.42,747.58,43,Wallet,Delivered,4,Amit
700100,2/28/2025,Vadodara,Chinese Wok,Chinese,Fried Rice,3,331.2,57.77,55.43,46.79,1038.05,73,Cash,Delivered,4,Karan
700101,3/16/2026,Ahmedabad,Pizza Corner,Biryani,Veg Biryani,2,98.28,41.79,48.48,7.74,210.99,37,Wallet,Cancelled,,Ravi
700102,9/29/2025,Jaipur,Chinese Wok,Beverages,Fresh Juice,3,382.02,14.65,45.88,56.57,1233.86,35,Cash,Cancelled,,Rahul
700103,12/5/2025,Gandhinagar,South Treat,Pizza,Veg Supreme,2,356.22,60.26,48.66,32.61,733.45,59,UPI,Delivered,3.5,Amit
700104,4/30/2026,Ahmedabad,Spice Hub,Beverages,Fresh Juice,2,305.98,56.36,30.08,27.78,613.46,51,Cash,Delivered,4.1,Karan
700105,8/1/2025,Jaipur,Chinese Wok,South Indian,Uttapam,1,164.03,65.6,29.05,4.92,132.4,42,Wallet,Cancelled,,Priya
700106,9/27/2025,Surat,Biryani Express,Biryani,Paneer Biryani,2,234.61,79.88,55.32,19.47,464.13,48,Cash,Delivered,4.6,Suresh
700107,8/25/2025,Ahmedabad,Chinese Wok,Pizza,Farmhouse,5,106.78,33.84,26.43,25,551.49,35,Card,Delivered,3.1,Priya
700108,1/24/2026,Ahmedabad,Pizza Corner,Burger,Paneer Burger,1,143.46,64.46,36.19,3.95,119.14,26,UPI,Cancelled,,Rahul
700109,8/16/2025,Ahmedabad,Food Fiesta,North Indian,Naan Combo,5,376.9,46.46,48.99,91.9,1978.93,19,Card,Delivered,4.9,Vikas
700110,5/23/2025,Vadodara,Urban Tadka,North Indian,Naan Combo,5,341.19,42.32,28.7,83.18,1775.51,20,UPI,Cancelled,,Neha
700111,3/20/2025,Surat,Urban Tadka,Beverages,Cold Coffee,3,276.96,7.94,59.21,41.15,923.3,47,Card,Cancelled,,Amit
700112,5/27/2026,Rajkot,Pizza Corner,Pizza,Farmhouse,3,276.51,32.26,31.52,39.86,868.65,48,Card,Cancelled,,Suresh
700113,12/26/2025,Pune,Chinese Wok,Beverages,Fresh Juice,3,229.88,57.09,54.83,31.63,719.01,60,Cash,Cancelled,,Ravi
700114,8/9/2025,Ahmedabad,Spice Hub,Beverages,Fresh Juice,2,212.54,26.02,51.25,19.95,470.26,74,UPI,Delivered,4.4,Neha
700115,4/30/2025,Rajkot,Food Fiesta,Beverages,Lassi,4,368.67,1.26,22.55,73.67,1569.64,54,UPI,Delivered,4.9,Priya
700116,1/16/2025,Rajkot,Urban Tadka,Biryani,Veg Biryani,4,272.68,8.79,56.73,54.1,1192.76,16,Wallet,Delivered,3.6,Rahul
700117,4/29/2026,Jaipur,Food Fiesta,Chinese,Noodles,5,278.08,23.62,38.96,68.34,1474.08,74,Wallet,Cancelled,,Amit
700118,3/17/2025,Ahmedabad,Food Fiesta,Beverages,Lassi,2,282.98,79.7,29.25,24.31,539.82,71,Card,Cancelled,,Rahul
700119,6/17/2025,Ahmedabad,South Treat,Beverages,Lassi,1,211.74,39.91,44.12,8.59,224.54,19,Wallet,Delivered,4,Priya
700120,1/13/2026,Jaipur,Food Fiesta,Chinese,Manchurian,5,315.88,73,50.07,75.32,1631.79,57,Wallet,Delivered,3.6,Ravi
700121,1/19/2025,Rajkot,Chinese Wok,Dessert,Ice Cream,5,181.84,63.93,42.01,42.26,929.54,30,Card,Delivered,4.5,Amit
700122,6/18/2026,Vadodara,Biryani Express,Dessert,Ice Cream,3,356.58,33.91,54.38,51.79,1142,70,UPI,Delivered,4.3,Amit
700123,6/10/2025,Rajkot,South Treat,Biryani,Veg Biryani,3,235.23,36.06,35.98,33.48,739.09,66,Wallet,Cancelled,,Neha
700124,12/23/2025,Pune,South Treat,Beverages,Cold Coffee,4,189.55,30.84,21.61,36.37,785.34,24,Wallet,Delivered,4.8,Amit
700125,6/30/2025,Mumbai,Spice Hub,Biryani,Veg Biryani,2,156.71,76.56,47.16,11.84,295.86,47,Card,Cancelled,,Vikas
700126,11/4/2025,Rajkot,Biryani Express,Beverages,Lassi,4,318.01,57.98,46.48,60.7,1321.24,60,UPI,Cancelled,,Priya
700127,9/6/2025,Gandhinagar,Food Fiesta,North Indian,Dal Makhani,2,90.46,9.43,56.81,8.57,236.87,20,UPI,Delivered,4.1,Karan
700128,5/14/2025,Gandhinagar,Urban Tadka,Dessert,Ice Cream,1,158.88,68.17,57.16,4.54,152.41,20,Card,Delivered,3.2,Priya
700129,2/7/2026,Vadodara,Burger House,Dessert,Ice Cream,3,104.82,42.81,48.4,13.58,333.63,18,Card,Delivered,4.1,Karan
700130,9/22/2025,Rajkot,Biryani Express,Burger,Veg Burger,3,178.38,14.74,51.28,26.02,597.7,17,Wallet,Delivered,3.2,Neha
700131,4/28/2025,Ahmedabad,Chinese Wok,Beverages,Lassi,3,215.42,25.05,22.37,31.06,674.64,42,UPI,Delivered,3.6,Priya
700132,12/10/2025,Pune,Urban Tadka,South Indian,Uttapam,4,380.02,52.6,41.82,73.37,1582.67,31,Wallet,Delivered,3.9,Rahul
700133,5/9/2025,Surat,Pizza Corner,Pizza,Farmhouse,3,276.5,16.43,55.67,40.65,909.39,70,UPI,Delivered,3.5,Karan
700134,3/4/2026,Rajkot,Food Fiesta,Pizza,Farmhouse,5,362.08,0.24,40.31,90.51,1940.98,58,UPI,Cancelled,,Karan
700135,9/26/2025,Gandhinagar,Burger House,Burger,Veg Burger,3,80.7,39.94,25.98,10.11,238.25,37,UPI,Delivered,3.6,Neha
700136,1/1/2026,Vadodara,Burger House,South Indian,Uttapam,5,116.13,26.85,32.01,27.69,613.5,68,UPI,Delivered,4.1,Neha
700137,2/27/2026,Ahmedabad,Chinese Wok,North Indian,Dal Makhani,3,277.85,64.75,34.19,38.44,841.43,57,Wallet,Cancelled,,Vikas
700138,9/6/2025,Vadodara,South Treat,Chinese,Noodles,4,302.38,73.98,56.53,56.78,1248.85,63,Wallet,Delivered,3.9,Suresh
700139,7/19/2025,Ahmedabad,Chinese Wok,Chinese,Fried Rice,4,376.56,73.51,46.11,71.64,1550.48,25,Card,Delivered,4.6,Ravi
700140,7/5/2025,Mumbai,Chinese Wok,Biryani,Veg Biryani,5,271.47,27.5,29.3,66.49,1425.64,40,Cash,Delivered,3.2,Rahul
700141,6/8/2025,Mumbai,Urban Tadka,Biryani,Veg Biryani,2,151.99,41.78,52.23,13.11,327.54,19,UPI,Delivered,4.3,Amit
700142,3/17/2026,Jaipur,Spice Hub,Burger,Cheese Burger,2,338.2,53.12,56.16,31.16,710.6,19,Wallet,Delivered,3.2,Suresh
700143,3/28/2026,Gandhinagar,Biryani Express,Beverages,Fresh Juice,4,238.19,64.85,50.37,44.4,982.68,24,Cash,Cancelled,,Rahul
700144,11/9/2025,Mumbai,Spice Hub,Dessert,Gulab Jamun,3,106.31,36.32,45.43,14.13,342.17,38,Cash,Delivered,4.7,Neha
700145,3/1/2025,Vadodara,Spice Hub,Pizza,Farmhouse,2,315.32,68.51,25.75,28.11,615.99,70,Cash,Delivered,3.2,Vikas
700146,5/13/2025,Vadodara,Spice Hub,South Indian,Idli,2,223.24,15.73,23.87,21.54,476.16,48,Card,Delivered,4.3,Karan
700147,10/31/2025,Surat,South Treat,South Indian,Idli,2,273.8,26.57,47.56,26.05,594.64,53,Wallet,Delivered,3.6,Priya
700148,4/9/2025,Ahmedabad,Chinese Wok,Beverages,Fresh Juice,3,342.44,16.69,59.13,50.53,1120.29,68,UPI,Delivered,4.2,Suresh
700149,6/1/2025,Pune,Food Fiesta,North Indian,Naan Combo,3,89.31,63.73,24.94,10.21,239.35,34,Card,Delivered,4.4,Rahul
700150,9/4/2025,Surat,Urban Tadka,Beverages,Lassi,4,350.68,30.46,59.15,68.61,1500.02,20,UPI,Delivered,4.7,Neha
700151,7/14/2025,Vadodara,Pizza Corner,North Indian,Paneer Butter Masala,3,386.15,49.57,43.48,55.44,1207.8,37,UPI,Delivered,4.6,Priya
700152,4/2/2026,Ahmedabad,South Treat,Dessert,Ice Cream,4,177.09,33.26,22.15,33.76,731.01,39,Cash,Cancelled,,Neha
700153,4/13/2025,Jaipur,Chinese Wok,Burger,Cheese Burger,3,84.96,55.71,53.34,9.96,262.47,25,Wallet,Cancelled,,Ravi
700154,9/26/2025,Surat,Pizza Corner,Chinese,Manchurian,3,166.59,25.51,24.29,23.71,522.26,66,Cash,Delivered,4.7,Karan
700155,4/28/2025,Jaipur,Biryani Express,Dessert,Ice Cream,5,284.16,16.48,50.95,70.22,1525.49,71,Cash,Cancelled,,Ravi
700156,9/20/2025,Pune,Spice Hub,Beverages,Lassi,4,236.9,40.92,59.66,45.33,1011.67,39,Wallet,Delivered,4.1,Suresh
700157,6/5/2026,Jaipur,Food Fiesta,Chinese,Noodles,4,368.2,75.36,23.49,69.87,1490.8,66,Wallet,Delivered,4,Rahul
700158,3/22/2025,Jaipur,Burger House,Burger,Veg Burger,5,359.5,78.17,30.73,85.97,1836.03,68,Cash,Delivered,3.8,Suresh
700159,12/15/2025,Mumbai,Chinese Wok,South Indian,Masala Dosa,3,334.87,18.35,33.41,49.31,1068.98,17,UPI,Delivered,4.7,Neha
700160,7/18/2025,Vadodara,South Treat,North Indian,Paneer Butter Masala,4,139.07,71.79,36.57,24.22,545.28,19,Cash,Delivered,4.8,Ravi
700161,3/5/2025,Gandhinagar,Urban Tadka,Biryani,Paneer Biryani,1,179.59,55.43,56.45,6.21,186.82,27,UPI,Delivered,4.7,Ravi
700162,12/2/2025,Pune,Urban Tadka,Dessert,Ice Cream,3,142.73,62.48,21.85,18.29,405.85,35,Wallet,Cancelled,,Rahul
700163,1/15/2025,Gandhinagar,Urban Tadka,Burger,Paneer Burger,2,289.24,69.29,21.76,25.46,556.41,71,Card,Cancelled,,Neha
700164,4/9/2026,Surat,Burger House,North Indian,Paneer Butter Masala,5,331.12,12.49,39.12,82.16,1764.39,60,Wallet,Delivered,4.5,Amit
700165,1/6/2026,Ahmedabad,Biryani Express,Burger,Cheese Burger,3,224.95,14.21,27.68,33.03,721.35,56,Wallet,Delivered,3.8,Rahul
700166,4/8/2026,Pune,Biryani Express,Biryani,Veg Biryani,2,125.94,59.16,34.86,9.64,237.22,46,Cash,Delivered,4.4,Neha
700167,2/9/2025,Mumbai,Burger House,Dessert,Ice Cream,1,310.01,15.17,41.11,14.74,350.69,72,Card,Cancelled,,Priya
700168,4/17/2026,Gandhinagar,Burger House,Chinese,Fried Rice,2,82.72,29.35,32.06,6.8,174.95,31,Cash,Cancelled,,Ravi
700169,4/16/2026,Jaipur,Urban Tadka,South Indian,Idli,4,312.94,58.13,41.07,59.68,1294.38,49,Card,Delivered,4.4,Amit
700170,4/20/2025,Jaipur,Spice Hub,Pizza,Margherita,4,237.65,37.32,46.61,45.66,1005.55,35,Card,Cancelled,,Amit
700171,4/12/2026,Pune,Burger House,Biryani,Paneer Biryani,3,332.87,35.27,47.85,48.17,1059.36,17,UPI,Delivered,3.7,Karan
700172,1/15/2025,Rajkot,Spice Hub,Chinese,Fried Rice,4,366.4,11.83,56.24,72.69,1582.7,29,Card,Delivered,3.9,Vikas
700173,3/7/2026,Mumbai,Pizza Corner,South Indian,Masala Dosa,5,112.51,24.48,58.98,26.9,623.95,65,Wallet,Delivered,4.5,Vikas
700174,10/18/2025,Rajkot,Biryani Express,Biryani,Veg Biryani,2,93.56,30.14,46.11,7.85,210.94,51,Cash,Delivered,4.3,Neha
700175,5/27/2026,Gandhinagar,Spice Hub,Burger,Veg Burger,4,101.98,72.51,32.96,16.77,385.14,29,Cash,Delivered,4,Amit
700176,4/15/2025,Gandhinagar,South Treat,Chinese,Noodles,5,86.47,48.4,29.26,19.2,432.41,33,Cash,Delivered,3.3,Amit
700177,1/8/2026,Vadodara,Urban Tadka,Beverages,Cold Coffee,4,338.8,57.23,42.09,64.9,1404.96,29,Card,Cancelled,,Amit
700178,1/8/2025,Surat,Spice Hub,Chinese,Noodles,5,318.95,32.61,47.6,78.11,1687.85,15,Card,Delivered,4.4,Karan
700179,1/15/2025,Surat,Pizza Corner,Burger,Veg Burger,1,212.1,36.12,30.41,8.8,215.19,70,Cash,Delivered,3.1,Vikas
700180,7/29/2025,Pune,Food Fiesta,Burger,Veg Burger,3,306.05,70.56,33.84,42.38,923.81,71,Card,Delivered,4.5,Karan
700181,1/15/2026,Vadodara,Food Fiesta,South Indian,Uttapam,5,261.61,74.78,44.72,61.66,1339.65,63,Wallet,Delivered,4.3,Amit
